"","childs","degree","educ","sei","suicide","divorce"
"1865",2,0,9,"21,2",1,0
"1866",2,1,12,"37,6",1,0
"1867",6,1,12,"28,4",NA,0
"1868",3,0,9,"29,1",NA,NA
"1869",1,0,11," ",NA,0
"1870",4,0,9,"30,2",0,NA
"1871",0,1,10,"31,5",1,1
"1872",0,1,12,"35,4",1,0
"1873",3,1,12,"80,9",0,NA
"1874",1,1,14,"63,5",0,1
"1875",2,1,13,"37,7",NA,NA
"1876",2,3,16,"78,5",0,0
"1877",1,1,12,"33,1",NA,0
"1878",1,1,12,"32,7",NA,0
"1879",3,1,12,"37,9",NA,0
"1880",4,1,14,"28,6",1,0
"1881",3,1,12,"29,8",1,0
"1882",1,0,11,"37,3",1,1
"1883",3,0,11,"33,1",1,0
"1884",2,1,14,"37,3",1,0
"1885",3,1,12,"43,7",NA,0
"1886",0,1,15," ",NA,NA
"1887",4,1,12,"27,7",NA,0
"1888",3,1,12," ",1,0
"1889",0,1,15,"38,4",NA,0
"1890",2,0,11,"63,5",0,0
"1891",1,0,9,"29,3",NA,0
"1892",2,1,12," ",1,0
"1893",2,1,16,"63,5",NA,NA
"1894",2,1,11,"36,5",1,1
"1895",1,3,16,"38,9",NA,0
"1896",5,4,20,"62,1",1,1
"1897",1,3,16,"88,8",1,0
"1898",2,1,12,"29",NA,NA
"1899",1,1,11,"69,2",1,1
"1900",1,4,17," ",0,0
